model,feature_set,feature_count,fit_seconds,val_roc_auc,val_average_precision,val_brier,val_threshold,val_macro_f1,val_positive_f1,val_balanced_accuracy,val_confusion_matrix,test_roc_auc,test_average_precision,test_brier,test_threshold,test_macro_f1,test_positive_f1,test_balanced_accuracy,test_confusion_matrix
xgboost_all_features,all,802,1.486,0.6384895614403812,0.9758477750344403,0.11710735410451889,0.4070095241069794,0.532156368221942,0.9617486338797814,0.532156368221942,"[[4, 35], [35, 880]]",0.6277895855472901,0.9757713743408221,0.116554856300354,0.4070095241069794,0.536575240494732,0.965042372881356,0.5340595111583422,"[[4, 36], [30, 911]]"
logistic_all_features,all,802,0.762,0.5989351268039793,0.9731619345146509,0.17314094305038452,0.08062138542532925,0.5166650537665014,0.950855880728879,0.5217738545607398,"[[4, 35], [54, 861]]",,,,,,,,
xgboost_tabular,tabular,34,0.104,0.5667367241137734,0.9691601545835398,0.17512640357017517,0.3333944582939148,0.5058035943005801,0.9497515184980674,0.5084068936527953,"[[3, 36], [55, 860]]",,,,,,,,
logistic_tabular,tabular,34,0.014,0.5389939750595488,0.9653751712980448,0.24028043448925018,0.33631030201911927,0.5105438401775805,0.9456159822419534,0.5168558217738546,"[[4, 35], [63, 852]]",,,,,,,,
majority_baseline,none,0,0.0,0.5,0.9591194968553459,0.04088050499558449,0.5,0.4895666131621188,0.9791332263242376,0.5,"[[0, 39], [0, 915]]",,,,,,,,
